grazer_spp.,box_label,animal_label,diet,shell_length_i,shell_length_w2,shell_length_w3,shell_length_f,imageJ_Li,imageJ_Lf,shell_width_i,imageJ_Wf,imageJ_Ai,imageJ_Af,wetmass_i,wetmass_2,wetmass_3,wetmass_f,wetmass_total_Wd,buoyant_Wi,buoyant_W2,buoyant_W3,buoyant_Wf,righting_time_1,righting_time_2,righting_attempts_final,terminal_wet_tissue_mass,terminal_gonad_wet_mass,terminal_nongonad_wet_mass,terminal_shell_wet_mass,tissue_sampled,terminal_dry_tissue_mass,terminal_gonad_dry_mass,terminal_nongonad_dry_mass,terminal_shell_dry_mass,terminal_total_dry_mass,est_total_dry_mass_i,est_tissue_dry_mass_i,est_non_gonad_dry_mass_i,est_gonad_dry_mass_i,est_shell_dry_mass_i,Water_Temp,treatment,Water_Temp
red abalone,74,neon pink 74,macro,59.2,NA,59.5,59.71,6.046,6.077,38.4,4.213,19.079,20.252,28.6704,33.1313,NA,30.289,1.6186,        ,6.18,NA,6.31,66,31,1,13.7094,4.799,8.9104,9.4309,NA,3.4502,1.094,2.3562,8.9122,15.8126,10.7728,2.7368,1.8252,0.9589,8.0363,14,2,14
red abalone,75,neon pink 75,starved,60.18,NA,60.33,60.33,6.196,6.107,40.77,4.234,20.806,20.228,27.9694,25.9278,NA,25.37,-2.5994,5.32,5.29,NA,5.26,21,22,1,10.5205,3.9358,6.5847,7.9696,NA,1.9849,0.6531,1.3318,7.7117,11.6815,11.3222,2.8919,1.9323,0.5006,8.4306,14,1,14
red abalone,76,neon pink 76,mixed,50.83,NA,51.43,51.71,5.252,5.27,35.92,3.925,15.68,16.285,16.9347,20.585,NA,20.0358,3.1011,3.37,3.71,NA,3.79,8,29,2,7.1062,2.6272,4.479,5.7579,NA,1.702,0.5415,1.1605,5.4309,8.8349,6.0802,1.4119,0.9105,0.5541,4.6687,14,3,14
red abalone,77,neon pink 77,sargassum,51.92,NA,52.25,52.81,5.337,5.345,35.45,3.746,15.42,15.822,19.0943,20.0134,NA,19.9656,0.8713,3.57,3.57,NA,3.59,5,67,4,9.7462,3.9154,5.8308,5.7027,NA,1.6714,0.6018,1.0696,5.3725,8.7153,6.6913,1.5844,1.0296,0.6389,5.1073,14,4,14
red abalone,78,neon pink 78,macro,53.65,NA,54.16,54.41,5.472,5.537,35.99,3.911,16.276,17.047,20.7129,21.3849,NA,21.4896,0.7767,4.01,4.02,NA,4.19,36,34,1,11.1983,4.1121,7.0862,6.645,NA,2.0404,0.7335,1.3069,5.9869,10.0677,7.6612,1.8583,1.2187,1.0579,5.8033,14,2,14
red abalone,79,neon pink 79,starved,62.2,NA,62.19,62.25,6.386,6.339,44.22,4.533,22.803,22.735,32.9349,33.2183,NA,29.746,-3.1889,6.17,6.14,NA,6.12,54,25,2,11.1665,4.1049,7.0616,9.2643,NA,2.5993,0.8188,1.7805,8.8869,14.0855,12.4547,3.2116,2.153,0.5526,9.2433,14,1,14
red abalone,80,neon pink 80,mixed,51.89,NA,52.12,52.6,5.211,5.314,33.06,3.636,13.764,15.359,19.0115,21.1105,NA,20.2066,1.1951,3.74,3.6,NA,3.86,11,38,2,8.3053,3.4156,4.8897,5.8844,NA,1.9522,0.7571,1.1951,5.5936,9.498,6.6745,1.5797,1.0264,-1.5207,5.0952,14,3,14
tegula,129,neon yellow 29,sargassum,9.59,9.85,10.37,10.24,NA,NA,NA,NA,NA,NA,0.6756,0.7165,0.7482,0.782,0.1064,0.2767,0.3309,0.3596,0.3689,NA,NA,NA,0.1396,NA,NA,NA,NA,0.0428,NA,NA,0.5796,0.652374,0.652374,0.03122312,NA,NA,0.62116736,14,4,14
tegula,130,neon yellow 30,macro,6.49,5.64,6.32,6.39,NA,NA,NA,NA,NA,NA,0.1646,0.181,0.1975,0.2001,0.0355,0.0563,0.0837,0.095,0.0953,NA,NA,NA,0.0486,NA,NA,NA,NA,0.0102,NA,NA,0.1521,0.1813265,0.1813265,0.01404057,NA,NA,0.16729471,14,2,14
tegula,131,neon yellow 31,starved,9.82,9.54,10.19,9.96,NA,NA,NA,NA,NA,NA,0.7909,0.7759,0.7717,0.8321,0.0412,0.3381,0.3739,0.3842,0.3812,NA,NA,NA,0.1663,NA,NA,NA,NA,0.0315,NA,NA,0.606,0.6375,0.618116,0.02997348,NA,NA,0.58815844,14,1,14
tegula,132,neon yellow 32,mixed,5.99,6.41,7.12,6.75,NA,NA,NA,NA,NA,NA,0.2122,0.2499,0.2639,0.2864,0.0742,0.0895,0.1085,0.1244,0.1284,NA,NA,NA,0.0513,NA,NA,NA,NA,0.0173,NA,NA,0.1961,0.2134,0.2253725,0.01564725,NA,NA,0.20973475,14,3,14
tegula,133,neon yellow 33,sargassum,9.53,9.16,10.15,9.85,NA,NA,NA,NA,NA,NA,0.6443,0.7152,0.7372,0.7817,0.1374,0.266,0.3327,0.3766,0.3902,NA,NA,NA,0.1657,NA,NA,NA,NA,0.0351,NA,NA,0.6118,0.6469,0.6046575,0.02948255,NA,NA,0.57519065,14,4,14
tegula,134,neon yellow 34,macro,7.22,7.34,7.68,7.8,NA,NA,NA,NA,NA,NA,0.2631,0.2871,0.3078,0.335,0.0719,0.0776,0.1358,0.1485,0.1527,NA,NA,NA,0.0562,NA,NA,NA,NA,0.017,NA,NA,0.2453,0.2623,0.35384,0.0203334,NA,NA,0.3335182,14,2,14
tegula,135,neon yellow 35,starved,8.83,8.72,8.94,8.78,NA,NA,NA,NA,NA,NA,0.5178,0.5201,0.5095,0.5299,0.0121,0.2305,0.2293,0.258,0.2563,NA,NA,NA,0.0933,NA,NA,NA,NA,0.0261,NA,NA,0.4155,0.4416,0.473743,0.02470714,NA,NA,0.44904942,14,1,14
tegula,136,neon yellow 36,mixed,9.13,9.53,10.46,10.04,NA,NA,NA,NA,NA,NA,0.6279,0.7286,0.7852,0.846,0.2181,0.251,0.3235,0.3867,0.4114,NA,NA,NA,0.1435,NA,NA,NA,NA,0.0375,NA,NA,0.6585,0.696,0.627904,0.03033052,NA,NA,0.59758956,14,3,14
tegula,137,neon yellow 37,sargassum,5.66,5.93,6.55,6.88,NA,NA,NA,NA,NA,NA,0.1578,0.1753,0.1882,0.2139,0.0561,0.06,0.0708,0.0901,0.0928,NA,NA,NA,0.0491,NA,NA,NA,NA,0.0084,NA,NA,0.1444,0.1528,0.241278,0.01622744,NA,NA,0.22506032,14,4,14
tegula,138,neon yellow 38,macro,6.36,5.48,6.53,6.95,NA,NA,NA,NA,NA,NA,0.1741,0.206,0.2277,0.2434,0.0693,0.0614,0.0927,0.1196,0.1144,NA,NA,NA,0.0417,NA,NA,NA,NA,0.0122,NA,NA,0.1821,0.1943,0.2498425,0.01653985,NA,NA,0.23331255,14,2,14
tegula,139,neon yellow 39,starved,6.83,7.16,7.16,6.93,NA,NA,NA,NA,NA,NA,0.2862,0.3025,0.292,0.3058,0.0196,0.1257,0.1422,0.1474,0.1456,NA,NA,NA,0.0381,NA,NA,NA,NA,0.0088,NA,NA,0.237,0.2458,0.2473955,0.01645059,NA,NA,0.23095477,14,1,14
tegula,140,neon yellow 40,mixed,9.31,10.19,9.92,10.13,NA,NA,NA,NA,NA,NA,0.6763,0.7495,0.7747,0.7984,0.1221,0.3232,0.3555,0.3499,0.3906,NA,NA,NA,0.1432,NA,NA,NA,NA,0.0456,NA,NA,0.6007,0.6463,0.6389155,0.03073219,NA,NA,0.60819957,14,3,14
tegula,141,neon yellow 41,sargassum,8.17,8.16,9.08,9.02,NA,NA,NA,NA,NA,NA,0.3923,0.458,0.5001,0.5528,0.1605,0.1678,0.2188,0.2471,0.2607,NA,NA,NA,0.1392,NA,NA,NA,NA,0.0329,NA,NA,0.4053,0.4382,0.503107,0.02577826,NA,NA,0.47734278,14,4,14
tegula,142,neon yellow 42,macro,7.2,7.34,7.78,7.36,NA,NA,NA,NA,NA,NA,0.3015,0.3213,0.3362,0.3566,0.0551,0.1186,0.1403,0.1638,0.1664,NA,NA,NA,0.0563,NA,NA,NA,NA,0.0153,NA,NA,0.2647,0.28,0.300006,0.01836968,NA,NA,0.28164704,14,2,14
tegula,143,neon yellow 43,starved,7.5,6.46,6.95,6.81,NA,NA,NA,NA,NA,NA,0.2608,0.2704,0.2658,0.2829,0.0221,0.095,0.1216,0.1377,0.1348,NA,NA,NA,0.0547,NA,NA,NA,NA,0.0231,NA,NA,0.2013,0.2244,0.2327135,0.01591503,NA,NA,0.21680809,14,1,14
tegula,144,neon yellow 44,mixed,8.53,8.54,8.64,8.74,NA,NA,NA,NA,NA,NA,0.395,0.4579,0.4823,0.5135,0.1185,0.1457,0.2043,0.2341,0.248,NA,NA,NA,0.0973,NA,NA,NA,NA,0.0279,NA,NA,0.3827,0.4106,0.468849,0.02452862,NA,NA,0.44433386,14,3,14
tegula,145,neon yellow 45,sargassum,8.34,8.81,9.26,8.8,NA,NA,NA,NA,NA,NA,0.5052,0.5098,0.548,0.5843,0.0791,0.1953,0.2156,0.2628,0.2722,NA,NA,NA,0.1187,NA,NA,NA,NA,0.0291,NA,NA,0.4317,0.4608,0.47619,0.0247964,NA,NA,0.4514072,14,4,14
tegula,146,neon yellow 46,macro,8.42,8.46,9.39,8.98,NA,NA,NA,NA,NA,NA,0.4824,0.5164,0.5565,0.5766,0.0942,0.1971,0.2416,0.2792,0.2921,NA,NA,NA,0.1122,NA,NA,NA,NA,0.0262,NA,NA,0.4606,0.4868,0.498213,0.02559974,NA,NA,0.47262722,14,2,14
tegula,147,neon yellow 47,starved,7.44,7.79,8.26,7.56,NA,NA,NA,NA,NA,NA,0.4018,0.424,0.4199,0.4516,0.0498,0.174,0.2027,0.2117,0.2083,NA,NA,NA,0.0913,NA,NA,NA,NA,0.0243,NA,NA,0.3165,0.3408,0.324476,0.01926228,NA,NA,0.30522484,14,1,14
tegula,148,neon yellow 48,mixed,7.41,7.91,8.47,8.1,NA,NA,NA,NA,NA,NA,0.3189,0.3834,0.4184,0.4474,0.1285,0.1324,0.1632,0.21,0.2124,NA,NA,NA,0.0988,NA,NA,NA,NA,0.0253,NA,NA,0.3417,0.367,0.390545,0.0216723,NA,NA,0.3688849,14,3,14
tegula,149,neon yellow 49,sargassum,6.99,7.33,8,7.9,NA,NA,NA,NA,NA,NA,0.2498,0.3158,0.3474,0.3742,0.1244,0.1084,0.1408,0.171,0.1837,NA,NA,NA,0.0865,NA,NA,NA,NA,0.0241,NA,NA,0.2845,0.3086,0.366075,0.0207797,NA,NA,0.3453071,14,4,14
tegula,150,neon yellow 50,macro,6.75,6.81,7.67,7.69,NA,NA,NA,NA,NA,NA,0.3174,0.3404,0.3654,0.3881,0.0707,0.1229,0.1588,0.1828,0.1904,NA,NA,NA,0.0723,NA,NA,NA,NA,0.0202,NA,NA,0.3031,0.3233,0.3403815,0.01984247,NA,NA,0.32055041,14,2,14
tegula,151,neon yellow 51,starved,6.46,5.53,6.59,6.63,NA,NA,NA,NA,NA,NA,0.2016,0.2171,0.2184,0.2325,0.0309,0.0776,0.1018,0.1105,0.1105,NA,NA,NA,0.0356,NA,NA,NA,NA,0.0092,NA,NA,0.1728,0.182,0.2106905,0.01511169,NA,NA,0.19558807,14,1,14
tegula,152,neon yellow 52,mixed,6.4,6.06,7.24,6.82,NA,NA,NA,NA,NA,NA,0.1927,0.2308,0.2496,0.2726,0.0799,0.0613,0.1054,0.1279,0.1267,NA,NA,NA,0.0644,NA,NA,NA,NA,0.0172,NA,NA,0.1976,0.2148,0.233937,0.01595966,NA,NA,0.21798698,14,3,14
tegula,153,neon yellow 53,sargassum,6.7,7.01,7.48,7.66,NA,NA,NA,NA,NA,NA,0.315,0.3283,0.3399,0.3699,0.0549,0.1245,0.1422,0.1642,0.1664,NA,NA,NA,0.0732,NA,NA,NA,NA,0.021,NA,NA,0.2647,0.2857,0.336711,0.01970858,NA,NA,0.31701374,14,4,14
tegula,154,neon yellow 54,macro,9.65,9.11,9.95,9.64,NA,NA,NA,NA,NA,NA,0.6614,0.6925,0.7293,0.7626,0.1012,0.2979,0.3407,0.3593,0.3698,NA,NA,NA,0.1487,NA,NA,NA,NA,0.038,NA,NA,0.5828,0.6208,0.578964,0.02854532,NA,NA,0.55043396,14,2,14
tegula,155,neon yellow 55,starved,5.23,5.68,5.69,6.02,NA,NA,NA,NA,NA,NA,0.151,0.1581,0.1615,0.17,0.019,0.0527,0.0566,0.0801,0.0812,NA,NA,NA,0.0298,NA,NA,NA,NA,0.008,NA,NA,0.1245,0.1325,0.136057,0.01238926,NA,NA,0.12367578,14,1,14
tegula,156,neon yellow 56,mixed,7.13,7.71,7.99,8.17,NA,NA,NA,NA,NA,NA,0.3016,0.3672,0.393,0.4127,0.1111,0.1276,0.1771,0.1882,0.1992,NA,NA,NA,0.0989,NA,NA,NA,NA,0.0232,NA,NA,0.3064,0.3296,0.3991095,0.02198471,NA,NA,0.37713713,14,3,14
tegula,157,neon yellow 57,sargassum,7.03,7.55,7.9,7.88,NA,NA,NA,NA,NA,NA,0.2865,0.3468,0.3766,0.402,0.1155,0.1078,0.1523,0.1752,0.1925,NA,NA,NA,0.0841,NA,NA,NA,NA,0.0246,NA,NA,0.2924,0.317,0.363628,0.02069044,NA,NA,0.34294932,14,4,14
tegula,158,neon yellow 58,macro,8.69,9.16,9.99,9.58,NA,NA,NA,NA,NA,NA,0.5907,0.6372,0.6625,0.6931,0.1024,0.2669,0.3095,0.3297,0.3346,NA,NA,NA,0.1101,NA,NA,NA,NA,0.0348,NA,NA,0.53,0.5648,0.571623,0.02827754,NA,NA,0.54336062,14,2,14
tegula,159,neon yellow 59,starved,9.51,9.38,9.66,9.47,NA,NA,NA,NA,NA,NA,0.501,0.5207,0.5163,0.5424,0.0414,0.2338,0.2592,0.2622,0.2605,NA,NA,NA,0.0865,NA,NA,NA,NA,0.0197,NA,NA,0.4129,0.4326,0.5581645,0.02778661,NA,NA,0.53039283,14,1,14
tegula,160,neon yellow 60,mixed,8.03,8.53,8.95,9.13,NA,NA,NA,NA,NA,NA,0.406,0.4884,0.5408,0.5651,0.1591,0.182,0.2305,0.2559,0.2826,NA,NA,NA,0.1136,NA,NA,NA,NA,0.0238,NA,NA,0.4412,0.465,0.5165655,0.02626919,NA,NA,0.49031057,14,3,14
tegula,161,neon yellow 61,sargassum,9.01,9.69,10.16,10.11,NA,NA,NA,NA,NA,NA,0.6106,0.704,0.7451,0.8012,0.1906,0.2741,0.3084,0.3294,0.3845,NA,NA,NA,0.1526,NA,NA,NA,NA,0.0469,NA,NA,0.6028,0.6497,0.6364685,0.03064293,NA,NA,0.60584179,14,4,14
tegula,162,neon yellow 62,macro,5.97,5.91,6.72,6.21,NA,NA,NA,NA,NA,NA,0.1826,0.2072,0.2222,0.2346,0.052,0.0563,0.0946,0.1085,0.1091,NA,NA,NA,0.0498,NA,NA,NA,NA,0.0166,NA,NA,0.1666,0.1832,0.1593035,0.01323723,NA,NA,0.14607469,14,2,14
tegula,163,neon yellow 63,starved,7.6,7.91,8.16,7.55,NA,NA,NA,NA,NA,NA,0.36,0.397,0.3958,0.4166,0.0566,0.1495,0.1919,0.1971,0.1961,NA,NA,NA,0.0638,NA,NA,NA,NA,0.0146,NA,NA,0.3196,0.3342,0.3232525,0.01921765,NA,NA,0.30404595,14,1,14
tegula,164,neon yellow 64,mixed,7.29,6.79,8.32,8.15,NA,NA,NA,NA,NA,NA,0.3274,0.3851,0.419,0.4474,0.12,0.1254,0.1878,0.21,0.212,NA,NA,NA,0.0872,NA,NA,NA,NA,0.0208,NA,NA,0.3388,0.3596,0.3966625,0.02189545,NA,NA,0.37477935,14,3,14
tegula,165,neon yellow 65,sargassum,6.85,7.23,7.74,7.34,NA,NA,NA,NA,NA,NA,0.2811,0.3083,0.3261,0.3512,0.0701,0.1027,0.1415,0.1659,0.1711,NA,NA,NA,0.0635,NA,NA,NA,NA,0.0167,NA,NA,0.273,0.2897,0.297559,0.01828042,NA,NA,0.27928926,14,4,14
tegula,166,neon yellow 66,macro,7.06,7.18,7.59,7.38,NA,NA,NA,NA,NA,NA,0.3008,0.3267,0.3295,0.3462,0.0454,0.1425,0.1556,0.1538,0.1587,NA,NA,NA,0.0635,NA,NA,NA,NA,0.0137,NA,NA,0.2652,0.2789,0.302453,0.01845894,NA,NA,0.28400482,14,2,14
tegula,167,neon yellow 67,starved,8.27,8.11,8.5,8.46,NA,NA,NA,NA,NA,NA,0.3608,0.3892,0.3776,0.4018,0.041,0.1115,0.1881,0.1905,0.189,NA,NA,NA,0.0876,NA,NA,NA,NA,0.034,NA,NA,0.2726,0.3066,0.434591,0.02327898,NA,NA,0.41132494,14,1,14
tegula,168,neon yellow 68,mixed,7.44,7.83,8.19,8.55,NA,NA,NA,NA,NA,NA,0.3179,0.378,0.3994,0.4252,0.1073,0.1506,0.1553,0.1935,0.1998,NA,NA,NA,0.0884,NA,NA,NA,NA,0.0237,NA,NA,0.3179,0.3416,0.4456025,0.02368065,NA,NA,0.42193495,14,3,14
tegula,169,neon yellow 69,sargassum,8.33,8.67,9.39,8.98,NA,NA,NA,NA,NA,NA,0.4972,0.5842,0.6152,0.6659,0.1687,0.1946,0.238,0.2941,0.3068,NA,NA,NA,0.1225,NA,NA,NA,NA,0.0313,NA,NA,0.4857,0.517,0.498213,0.02559974,NA,NA,0.47262722,14,4,14
tegula,170,neon yellow 70,macro,6.65,6.53,6.89,6.73,NA,NA,NA,NA,NA,NA,0.2348,0.2509,0.2672,0.2848,0.05,0.0861,0.1098,0.1267,0.1277,NA,NA,NA,0.059,NA,NA,NA,NA,0.0142,NA,NA,0.2049,0.2191,0.2229255,0.01555799,NA,NA,0.20737697,14,2,14
tegula,171,neon yellow 71,starved,6.51,6.99,7.24,7.29,NA,NA,NA,NA,NA,NA,0.2489,0.2505,0.2469,0.2642,0.0153,0.1083,0.1191,0.124,0.1213,NA,NA,NA,0.0461,NA,NA,NA,NA,0.0097,NA,NA,0.1975,0.2072,0.2914415,0.01805727,NA,NA,0.27339481,14,1,14
tegula,172,neon yellow 72,mixed,8.94,8.92,9.89,9.99,NA,NA,NA,NA,NA,NA,0.4918,0.5868,0.628,0.6838,0.192,0.2374,0.2708,0.3139,0.334,NA,NA,NA,0.1372,NA,NA,NA,NA,0.0344,NA,NA,0.522,0.5564,0.6217865,0.03010737,NA,NA,0.59169511,14,3,14
tegula,173,neon yellow 73,sargassum,6.13,6.76,7.57,7.43,NA,NA,NA,NA,NA,NA,0.2333,0.2931,0.315,0.3367,0.1034,0.0908,0.1149,0.1423,0.1628,NA,NA,NA,0.0751,NA,NA,NA,NA,0.02,NA,NA,0.2568,0.2768,0.3085705,0.01868209,NA,NA,0.28989927,14,4,14
tegula,174,neon yellow 74,macro,7.03,6.19,7.78,7.7,NA,NA,NA,NA,NA,NA,0.286,0.3249,0.3508,0.3603,0.0743,0.1204,0.144,0.1738,0.18,NA,NA,NA,0.0663,NA,NA,NA,NA,0.0168,NA,NA,0.2887,0.3055,0.341605,0.0198871,NA,NA,0.3217293,14,2,14
tegula,175,neon yellow 75,starved,8.67,8.92,8.82,8.63,NA,NA,NA,NA,NA,NA,0.5494,0.5726,0.5504,0.5685,0.0191,0.2415,0.2643,0.2656,0.2672,NA,NA,NA,0.1208,NA,NA,NA,NA,0.0237,NA,NA,0.4244,0.4481,0.4553905,0.02403769,NA,NA,0.43136607,14,1,14
tegula,176,neon yellow 76,mixed,6.02,5.91,6.6,6.89,NA,NA,NA,NA,NA,NA,0.194,0.2172,0.2393,0.2633,0.0693,0.0814,0.0965,0.1207,0.1218,NA,NA,NA,0.0606,NA,NA,NA,NA,0.0156,NA,NA,0.1965,0.2121,0.2425015,0.01627207,NA,NA,0.22623921,14,3,14
tegula,177,neon yellow 77,sargassum,8.37,8.61,8.96,8.29,NA,NA,NA,NA,NA,NA,0.437,0.4846,0.5026,0.5261,0.0891,0.1518,0.1985,0.2445,0.2522,NA,NA,NA,0.1037,NA,NA,NA,NA,0.0269,NA,NA,0.3997,0.4266,0.4137915,0.02252027,NA,NA,0.39128381,14,4,14
tegula,178,neon yellow 78,macro,8.04,7.74,8.47,8.36,NA,NA,NA,NA,NA,NA,0.3671,0.4123,0.4214,0.4343,0.0672,0.1714,0.1962,0.2109,0.2119,NA,NA,NA,0.0801,NA,NA,NA,NA,0.0167,NA,NA,0.3284,0.3451,0.422356,0.02283268,NA,NA,0.39953604,14,2,14
tegula,179,neon yellow 79,starved,6.33,6.18,6.61,6.14,NA,NA,NA,NA,NA,NA,0.2089,0.2252,0.2278,0.2337,0.0248,NA,0.1116,0.1149,0.1119,NA,NA,NA,0.0468,NA,NA,NA,NA,0.0174,NA,NA,0.1703,0.1877,0.150739,0.01292482,NA,NA,0.13782246,14,1,14
tegula,180,neon yellow 80,mixed,7.07,6.89,7.72,7.85,NA,NA,NA,NA,NA,NA,0.2753,0.3005,0.325,0.3573,0.082,0.1205,0.137,0.1586,0.1634,NA,NA,NA,0.0734,NA,NA,NA,NA,0.0215,NA,NA,0.2604,0.2819,0.3599575,0.02055655,NA,NA,0.33941265,14,3,14
tegula,181,neon yellow 81,sargassum,8.06,8.17,8.73,9.25,NA,NA,NA,NA,NA,NA,0.4082,0.4899,0.5264,0.5924,0.1842,0.1966,0.2284,0.2626,0.2741,NA,NA,NA,0.1081,NA,NA,NA,NA,0.0251,NA,NA,0.4366,0.4617,0.5312475,0.02680475,NA,NA,0.50445725,14,4,14
tegula,182,neon yellow 82,macro,7.95,8.08,8.83,8.49,NA,NA,NA,NA,NA,NA,0.4405,0.4821,0.5122,0.5277,0.0872,0.18,0.2231,0.2422,0.2453,NA,NA,NA,0.1162,NA,NA,NA,NA,0.0312,NA,NA,0.3912,0.4224,0.4382615,0.02341287,NA,NA,0.41486161,14,2,14
tegula,183,neon yellow 83,starved,7.78,7.7,8.2,8.04,NA,NA,NA,NA,NA,NA,0.3516,0.3733,0.361,0.3789,0.0273,0.145,0.1789,0.1818,0.1808,NA,NA,NA,0.0655,NA,NA,NA,NA,0.0139,NA,NA,0.2905,0.3044,0.383204,0.02140452,NA,NA,0.36181156,14,1,14
tegula,184,neon yellow 84,mixed,8.97,8.5,10.01,9.69,NA,NA,NA,NA,NA,NA,0.512,0.5959,0.646,0.7091,0.1971,0.2461,0.2911,0.33,0.3252,NA,NA,NA,0.1556,NA,NA,NA,NA,0.03,NA,NA,0.5336,0.5636,0.5850815,0.02876847,NA,NA,0.55632841,14,3,14
tegula,185,neon yellow 85,sargassum,6.98,7.78,8.18,7.74,NA,NA,NA,NA,NA,NA,0.3259,0.3653,0.3938,0.4141,0.0882,0.1502,0.1566,0.1889,0.1967,NA,NA,NA,0.0962,NA,NA,NA,NA,0.0272,NA,NA,0.2948,0.322,0.346499,0.02006562,NA,NA,0.32644486,14,4,14
tegula,186,neon yellow 86,macro,6.31,5.92,6.24,6.32,NA,NA,NA,NA,NA,NA,0.184,0.1954,0.1986,0.2088,0.0248,0.0854,0.0733,0.0965,0.0977,NA,NA,NA,0.033,NA,NA,NA,NA,0.0092,NA,NA,0.1602,0.1694,0.172762,0.01372816,NA,NA,0.15904248,14,2,14
tegula,187,neon yellow 87,starved,5.94,6.46,6.55,6.83,NA,NA,NA,NA,NA,NA,0.2234,0.2355,0.238,0.2543,0.0309,0.1106,0.0998,0.1179,0.1147,NA,NA,NA,0.0485,NA,NA,NA,NA,0.0144,NA,NA,0.1804,0.1948,0.2351605,0.01600429,NA,NA,0.21916587,14,1,14
tegula,188,neon yellow 88,mixed,7.75,8.79,9.42,8.63,NA,NA,NA,NA,NA,NA,0.4277,0.5147,0.554,0.6187,0.191,0.2011,0.2378,0.2731,0.3047,NA,NA,NA,0.1262,NA,NA,NA,NA,0.0359,NA,NA,0.4572,0.4931,0.4553905,0.02403769,NA,NA,0.43136607,14,3,14
tegula,189,neon yellow 89,sargassum,7.39,7.86,8.6,8.49,NA,NA,NA,NA,NA,NA,0.3612,0.4196,0.4558,0.491,0.1298,0.1575,0.192,0.2309,0.2415,NA,NA,NA,0.0961,NA,NA,NA,NA,0.0241,NA,NA,0.3807,0.4048,0.4382615,0.02341287,NA,NA,0.41486161,14,4,14
tegula,190,neon yellow 90,macro,8.41,8.42,9.36,9.08,NA,NA,NA,NA,NA,NA,0.5389,0.5866,0.611,0.6189,0.08,0.249,0.2846,0.3144,0.3107,NA,NA,NA,0.1282,NA,NA,NA,NA,0.0298,NA,NA,0.4908,0.5206,0.510448,0.02604604,NA,NA,0.48441612,14,2,14
tegula,191,neon yellow 91,starved,7.88,8.61,8.82,8.45,NA,NA,NA,NA,NA,NA,0.4661,0.497,0.4933,0.5222,0.0561,0.2052,0.2244,0.2542,0.2491,NA,NA,NA,0.0808,NA,NA,NA,NA,0.0184,NA,NA,0.3986,0.417,0.4333675,0.02323435,NA,NA,0.41014605,14,1,14
tegula,192,neon yellow 92,mixed,7.41,7.63,7.47,8.12,NA,NA,NA,NA,NA,NA,0.3142,0.3613,0.3945,0.4188,0.1046,0.1142,0.1444,0.1777,0.1879,NA,NA,NA,0.1072,NA,NA,NA,NA,0.0319,NA,NA,0.2826,0.3145,0.392992,0.02176156,NA,NA,0.37124268,14,3,14
tegula,193,neon yellow 93,sargassum,9.45,10.08,10.31,9.96,NA,NA,NA,NA,NA,NA,0.6421,0.6845,0.7151,0.7463,0.1042,0.2841,0.3057,0.3427,0.3501,NA,NA,NA,0.1385,NA,NA,NA,NA,0.0338,NA,NA,0.5399,0.5737,0.618116,0.02997348,NA,NA,0.58815844,14,4,14
tegula,194,neon yellow 94,macro,7.81,7.36,8.3,7.56,NA,NA,NA,NA,NA,NA,0.3915,0.4122,0.4388,0.4619,0.0704,0.1779,0.1882,0.2261,0.2175,NA,NA,NA,0.0981,NA,NA,NA,NA,0.0277,NA,NA,0.3297,0.3574,0.324476,0.01926228,NA,NA,0.30522484,14,2,14
tegula,195,neon yellow 95,starved,6.35,7.11,7.13,7.34,NA,NA,NA,NA,NA,NA,0.2499,0.2727,0.2717,0.2816,0.0317,0.1028,0.1241,0.1372,0.134,NA,NA,NA,0.0477,NA,NA,NA,NA,0.0101,NA,NA,0.2195,0.2296,0.297559,0.01828042,NA,NA,0.27928926,14,1,14
tegula,196,neon yellow 96,mixed,7.88,7.82,8.71,8,NA,NA,NA,NA,NA,NA,0.3779,0.4339,0.4596,0.5041,0.1262,0.1845,0.2136,0.23,0.2179,NA,NA,NA,0.0875,NA,NA,NA,NA,0.0253,NA,NA,0.3715,0.3968,0.37831,0.021226,NA,NA,0.357096,14,3,14
tegula,197,neon yellow 97,sargassum,6.74,6.95,7.44,7.15,NA,NA,NA,NA,NA,NA,0.2528,0.287,0.3068,0.3179,0.0651,0.1107,0.1411,0.1543,0.1557,NA,NA,NA,0.0636,NA,NA,NA,NA,0.0162,NA,NA,0.2453,0.2615,0.2743125,0.01743245,NA,NA,0.25689035,14,4,14
tegula,198,neon yellow 98,macro,7.81,8.02,8.61,8.27,NA,NA,NA,NA,NA,NA,0.4467,0.4621,0.4915,0.5119,0.0652,0.212,0.2168,0.2452,0.253,NA,NA,NA,0.1016,NA,NA,NA,NA,0.0283,NA,NA,0.3999,0.4282,0.4113445,0.02243101,NA,NA,0.38892603,14,2,14
tegula,199,neon yellow 99,starved,8.66,8.39,8.46,8.31,NA,NA,NA,NA,NA,NA,0.4711,0.475,0.4652,0.4899,0.0188,0.2197,0.2377,0.24,0.2382,NA,NA,NA,0.0822,NA,NA,NA,NA,0.0164,NA,NA,0.3816,0.398,0.4162385,0.02260953,NA,NA,0.39364159,14,1,14
