Line_No.,Start_Date,Start_Time,End_Date,End_Time,Rep_No.,Treatment,Wrack_treatment,Algae_Spp.,Algae_trt,Algae_Wi,Algae_Wf,Algae_ CF_Cf/Ci,Algae_Wd,Total_Benthic_Algae_Consumed,Total_Wrack_Algae_Consumed,Total_Algae_Consumed ,Water_Temp,Air_Temp,Flow_Rate,Teg_Biomass,Hermit_Biomass,Pachy_Biomass
154,9/11/19,19:43,9/12/19,14:00,MC13.14C,Cont,Native,Centroceras,Centroceras,11.2263,11.5906,1.032450585,NA,NA,NA,NA,24,24.5,0.0307,,,
155,9/11/19,19:43,9/12/19,14:00,MC13.14S,Cont,Native,Silvetia,Silvetia,11.6675,11.8438,1.015110349,NA,NA,NA,NA,24,24.5,0.0307,,,
156,9/11/19,19:43,9/12/19,14:00,MC13.14U,Cont,Native,Ulva,Ulva,12.0744,12.4016,1.027098655,NA,NA,NA,NA,24,24.5,0.0307,,,
157,9/11/19,19:43,9/12/19,14:00,SC13.14SA,Cont,Invasive,Sargassum,Wrack,12.3516,12.6598,1.024952233,NA,NA,NA,NA,24,24.5,0.0307,,,
158,9/11/19,19:43,9/12/19,14:00,SC13.14C,Cont,Invasive,Centroceras,Centroceras,11.3522,11.6083,1.022559504,NA,NA,NA,NA,24,24.5,0.0307,,,
159,9/11/19,19:43,9/12/19,14:00,SC13.14S,Cont,Invasive,Silvetia,Silvetia,11.3266,11.3457,1.001686296,NA,NA,NA,NA,24,24.5,0.0307,,,
160,9/11/19,19:43,9/12/19,14:00,SC13.14U,Cont,Invasive,Ulva,Ulva,10.4472,10.9096,1.044260663,NA,NA,NA,NA,24,24.5,0.0307,,,
161,9/11/19,19:43,9/12/19,14:00,14,Exp,Native,Macro,Wrack,12.3595,11.0446,NA,1.6698,3.7782,1.6698,5.448,24,24.5,0.0307,21.059,16.2255,3.8789
162,9/11/19,19:43,9/12/19,14:00,14,Exp,Native,Centroceras,Centroceras,11.8206,11.0366,NA,1.1676,NA,NA,NA,24,24.5,0.0307,,,
163,9/11/19,19:43,9/12/19,14:00,14,Exp,Native,Silvetia,Silvetia,10.3002,7.7242,NA,2.7316,NA,NA,NA,24,24.5,0.0307,,,
164,9/11/19,19:43,9/12/19,14:00,14,Exp,Native,Ulva,Ulva,10.361,10.7628,NA,-0.121,NA,NA,NA,24,24.5,0.0307,,,
165,9/11/19,19:43,9/12/19,14:00,14,Exp,Invasive,Sargassum,Wrack,10.4554,10.6158,NA,0.1005,4.8705,0.1005,4.971,24,24.5,0.0307,14.1403,15.7145,2.4011
166,9/11/19,19:43,9/12/19,14:00,14,Exp,Invasive,Centroceras,Centroceras,11.5305,11.559,NA,0.2316,NA,NA,NA,24,24.5,0.0307,,,
167,9/11/19,19:43,9/12/19,14:00,14,Exp,Invasive,Silvetia,Silvetia,11.8475,7.5856,NA,4.2819,NA,NA,NA,24,24.5,0.0307,,,
168,9/11/19,19:43,9/12/19,14:00,14,Exp,Invasive,Ulva,Ulva,11.6635,11.8227,NA,0.357,NA,NA,NA,24,24.5,0.0307,,,
169,9/11/19,19:43,9/12/19,14:00,15,Exp,Native,Macro,Wrack,12.5145,11.733,NA,0.9479,4.8345,0.9479,5.7824,24,24.5,0.0307,17.4608,14.9851,9.2
170,9/11/19,19:43,9/12/19,14:00,15,Exp,Native,Centroceras,Centroceras,11.2217,11.263,NA,0.1343,NA,NA,NA,24,24.5,0.0307,,,
171,9/11/19,19:43,9/12/19,14:00,15,Exp,Native,Silvetia,Silvetia,11.9611,7.203,NA,4.6005,NA,NA,NA,24,24.5,0.0307,,,
172,9/11/19,19:43,9/12/19,14:00,15,Exp,Native,Ulva,Ulva,12.3412,12.458,NA,0.0997,NA,NA,NA,24,24.5,0.0307,,,
173,9/11/19,19:43,9/12/19,14:00,15,Exp,Invasive,Sargassum,Wrack,11.6956,11.668,NA,0.1944,2.6422,0.1944,2.8366,24,24.5,0.0307,21.7356,14.2073,10.0181
174,9/11/19,19:43,9/12/19,14:00,15,Exp,Invasive,Centroceras,Centroceras,9.4879,9.511,NA,0.131,NA,NA,NA,24,24.5,0.0307,,,
175,9/11/19,19:43,9/12/19,14:00,15,Exp,Invasive,Silvetia,Silvetia,12.48,9.792,NA,2.3997,NA,NA,NA,24,24.5,0.0307,,,
176,9/11/19,19:43,9/12/19,14:00,15,Exp,Invasive,Ulva,Ulva,11.4381,11.506,NA,0.1115,NA,NA,NA,24,24.5,0.0307,,,
177,9/11/19,19:43,9/12/19,14:00,MC15.16M,Cont,Native,Macro,Wrack,11.9789,12.1382,1.013298383,NA,NA,NA,NA,24,24.5,0.0307,,,
178,9/11/19,19:43,9/12/19,14:00,MC15.16C,Cont,Native,Centroceras,Centroceras,10.6912,10.8585,1.015648384,NA,NA,NA,NA,24,24.5,0.0307,,,
179,9/11/19,19:43,9/12/19,14:00,MC15.16S,Cont,Native,Silvetia,Silvetia,10.0186,9.8866,0.986824506,NA,NA,NA,NA,24,24.5,0.0307,,,
180,9/11/19,19:43,9/12/19,14:00,MC15.16U,Cont,Native,Ulva,Ulva,10.4547,10.6381,1.017542349,NA,NA,NA,NA,24,24.5,0.0307,,,
181,9/11/19,19:43,9/12/19,14:00,SC15.16SA,Cont,Invasive,Sargassum,Wrack,11.4615,11.625,1.014265149,NA,NA,NA,NA,24,24.5,0.0307,,,
182,9/11/19,19:43,9/12/19,14:00,SC15.16C,Cont,Invasive,Centroceras,Centroceras,11.172,11.3534,1.016237021,NA,NA,NA,NA,24,24.5,0.0307,,,
183,9/11/19,19:43,9/12/19,14:00,SC15.16S,Cont,Invasive,Silvetia,Silvetia,13.1979,12.893,0.97689784,NA,NA,NA,NA,24,24.5,0.0307,,,
184,9/11/19,19:43,9/12/19,14:00,SC15.16U,Cont,Invasive,Ulva,Ulva,9.0238,9.1653,1.015680755,NA,NA,NA,NA,24,24.5,0.0307,,,
185,9/11/19,19:43,9/12/19,14:00,16,Exp,Native,Macro,Wrack,11.5134,10.79,NA,0.8765,2.4041,0.8765,3.2806,24,24.5,0.0307,17.8746,14.1419,5.5025
186,9/11/19,19:43,9/12/19,14:00,16,Exp,Native,Centroceras,Centroceras,11.6106,11.447,NA,0.3453,NA,NA,NA,24,24.5,0.0307,,,
187,9/11/19,19:43,9/12/19,14:00,16,Exp,Native,Silvetia,Silvetia,11.6722,9.916,NA,1.6024,NA,NA,NA,24,24.5,0.0307,,,
188,9/11/19,19:43,9/12/19,14:00,16,Exp,Native,Ulva,Ulva,11.6255,11.373,NA,0.4564,NA,NA,NA,24,24.5,0.0307,,,
189,9/11/19,19:43,9/12/19,14:00,16,Exp,Invasive,Sargassum,Wrack,12.2994,12.2012,NA,0.2737,2.1321,0.2737,2.4058,24,24.5,0.0307,17.8052,12.861,6.002
190,9/11/19,19:43,9/12/19,14:00,16,Exp,Invasive,Centroceras,Centroceras,11.4345,11.1948,NA,0.4254,NA,NA,NA,24,24.5,0.0307,,,
191,9/11/19,19:43,9/12/19,14:00,16,Exp,Invasive,Silvetia,Silvetia,10.6062,9.0619,NA,1.2993,NA,NA,NA,24,24.5,0.0307,,,
192,9/11/19,19:43,9/12/19,14:00,16,Exp,Invasive,Ulva,Ulva,12.2603,12.0452,NA,0.4074,NA,NA,NA,24,24.5,0.0307,,,
193,9/11/19,19:43,9/13/19,0:29,17,Exp,Native,Macro,Wrack,13.5892,10.2115,NA,3.5709,3.9018,3.5709,7.4727,24,24.5,0.0307,23.3345,13.8148,2.5909
194,9/11/19,19:43,9/13/19,0:29,17,Exp,Native,Centroceras,Centroceras,12.632,12.6664,NA,0.3047,NA,NA,NA,24,24.5,0.0307,,,
195,9/11/19,19:43,9/13/19,0:29,17,Exp,Native,Silvetia,Silvetia,11.7996,8.91,NA,2.9983,NA,NA,NA,24,24.5,0.0307,,,
196,9/11/19,19:43,9/13/19,0:29,17,Exp,Native,Ulva,Ulva,12.2452,12.0774,NA,0.5988,NA,NA,NA,24,24.5,0.0307,,,
197,9/11/19,19:43,9/13/19,0:29,17,Exp,Invasive,Sargassum,Wrack,12.2201,12.4091,NA,0.2956,5.5271,0.2956,5.8227,24,24.5,0.0307,25.33,13.585,5.0185
198,9/11/19,19:43,9/13/19,0:29,17,Exp,Invasive,Centroceras,Centroceras,10.6433,10.3079,NA,0.6906,NA,NA,NA,24,24.5,0.0307,,,
199,9/11/19,19:43,9/13/19,0:29,17,Exp,Invasive,Silvetia,Silvetia,11.956,8.0958,NA,3.4936,NA,NA,NA,24,24.5,0.0307,,,
200,9/11/19,19:43,9/13/19,0:29,17,Exp,Invasive,Ulva,Ulva,11.8061,10.8541,NA,1.3429,NA,NA,NA,24,24.5,0.0307,,,
201,9/11/19,19:43,9/13/19,0:29,MC17.18M,Cont,Native,Macro,Wrack,13.5484,13.741,1.014215701,NA,NA,NA,NA,24,24.5,0.0307,,,
202,9/11/19,19:43,9/13/19,0:29,MC17.18C,Cont,Native,Centroceras,Centroceras,11.5141,11.8232,1.026845346,NA,NA,NA,NA,24,24.5,0.0307,,,
203,9/11/19,19:43,9/13/19,0:29,MC17.18S,Cont,Native,Silvetia,Silvetia,11.7884,11.897,1.009212446,NA,NA,NA,NA,24,24.5,0.0307,,,
204,9/11/19,19:43,9/13/19,0:29,MC17.18U,Cont,Native,Ulva,Ulva,10.5906,10.9634,1.035201027,NA,NA,NA,NA,24,24.5,0.0307,,,
205,9/11/19,19:43,9/13/19,0:29,SC17.18SA,Cont,Invasive,Sargassum,Wrack,11.9089,12.3812,1.039659414,NA,NA,NA,NA,24,24.5,0.0307,,,
206,9/11/19,19:43,9/13/19,0:29,SC17.18C,Cont,Invasive,Centroceras,Centroceras,11.4474,11.8294,1.033370023,NA,NA,NA,NA,24,24.5,0.0307,,,
207,9/11/19,19:43,9/13/19,0:29,SC17.18S,Cont,Invasive,Silvetia,Silvetia,11.8892,11.5246,0.969333513,NA,NA,NA,NA,24,24.5,0.0307,,,
208,9/11/19,19:43,9/13/19,0:29,SC17.18U,Cont,Invasive,Ulva,Ulva,11.3434,11.719,1.033111765,NA,NA,NA,NA,24,24.5,0.0307,,,
209,9/11/19,19:43,9/13/19,0:29,18,Exp,Native,Macro,Wrack,12.6852,10.0753,NA,2.7902,5.6007,2.7902,8.3909,24,24.5,0.0307,18.5933,13.836,5.2943
210,9/11/19,19:43,9/13/19,0:29,18,Exp,Native,Centroceras,Centroceras,12.0927,12.1241,NA,0.2932,NA,NA,NA,24,24.5,0.0307,,,
211,9/11/19,19:43,9/13/19,0:29,18,Exp,Native,Silvetia,Silvetia,13.3488,8.7215,NA,4.7503,NA,NA,NA,24,24.5,0.0307,,,
212,9/11/19,19:43,9/13/19,0:29,18,Exp,Native,Ulva,Ulva,11.5086,11.3565,NA,0.5572,NA,NA,NA,24,24.5,0.0307,,,
213,9/11/19,19:43,9/13/19,0:29,18,Exp,Invasive,Sargassum,Wrack,14.151,14.0402,NA,0.672,5.0151,0.672,5.6871,24,24.5,0.0307,28.133,11.2079,8.2765
214,9/11/19,19:43,9/13/19,0:29,18,Exp,Invasive,Centroceras,Centroceras,10.7671,10.7876,NA,0.3388,NA,NA,NA,24,24.5,0.0307,,,
215,9/11/19,19:43,9/13/19,0:29,18,Exp,Invasive,Silvetia,Silvetia,11.3317,7.2887,NA,3.6955,NA,NA,NA,24,24.5,0.0307,,,
216,9/11/19,19:43,9/13/19,0:29,18,Exp,Invasive,Ulva,Ulva,11.3152,10.7091,NA,0.9808,NA,NA,NA,24,24.5,0.0307,,,
217,9/11/19,19:43,9/13/19,0:23,19,Exp,Native,Macro,Wrack,11.331,10.0736,NA,1.6814,3.2117,1.6814,4.8931,24,24.5,0.0307,13.5458,18.3518,1.9274
218,9/11/19,19:43,9/13/19,0:23,19,Exp,Native,Centroceras,Centroceras,10.7339,10.9216,NA,0.2292,NA,NA,NA,24,24.5,0.0307,,,
219,9/11/19,19:43,9/13/19,0:23,19,Exp,Native,Silvetia,Silvetia,12.9735,10.1156,NA,2.4737,NA,NA,NA,24,24.5,0.0307,,,
220,9/11/19,19:43,9/13/19,0:23,19,Exp,Native,Ulva,Ulva,12.3387,12.3223,NA,0.5088,NA,NA,NA,24,24.5,0.0307,,,
221,9/11/19,19:43,9/13/19,0:23,19,Exp,Invasive,Sargassum,Wrack,12.2286,12.6965,NA,-0.1802,5.047,-0.1802,4.8668,24,24.5,0.0307,14.9939,14.058,1.5166
222,9/11/19,19:43,9/13/19,0:23,19,Exp,Invasive,Centroceras,Centroceras,11.5875,11.6051,NA,0.2151,NA,NA,NA,24,24.5,0.0307,,,
223,9/11/19,19:43,9/13/19,0:23,19,Exp,Invasive,Silvetia,Silvetia,10.46,6.4178,NA,3.9008,NA,NA,NA,24,24.5,0.0307,,,
224,9/11/19,19:43,9/13/19,0:23,19,Exp,Invasive,Ulva,Ulva,12.8521,12.2528,NA,0.9311,NA,NA,NA,24,24.5,0.0307,,,
225,9/11/19,19:43,9/13/19,0:23,MC19.20M,Cont,Native,Macro,Wrack,11.3154,11.7388,1.037418032,NA,NA,NA,NA,24,24.5,0.0307,,,
226,9/11/19,19:43,9/13/19,0:23,MC19.20C,Cont,Native,Centroceras,Centroceras,12.1658,12.6383,1.038838383,NA,NA,NA,NA,24,24.5,0.0307,,,
227,9/11/19,19:43,9/13/19,0:23,MC19.20S,Cont,Native,Silvetia,Silvetia,12.9386,12.5554,0.970383194,NA,NA,NA,NA,24,24.5,0.0307,,,
228,9/11/19,19:43,9/13/19,0:23,MC19.20U,Cont,Native,Ulva,Ulva,11.7065,12.1737,1.039909452,NA,NA,NA,NA,24,24.5,0.0307,,,
229,9/11/19,19:43,9/13/19,0:23,SC19.20SA,Cont,Invasive,Sargassum,Wrack,11.9235,12.204,1.023524972,NA,NA,NA,NA,24,24.5,0.0307,,,
230,9/11/19,19:43,9/13/19,0:23,SC19.20C,Cont,Invasive,Centroceras,Centroceras,11.2189,11.4442,1.020082183,NA,NA,NA,NA,24,24.5,0.0307,,,
231,9/11/19,19:43,9/13/19,0:23,SC19.20S,Cont,Invasive,Silvetia,Silvetia,12.2686,12.1028,0.986485826,NA,NA,NA,NA,24,24.5,0.0307,,,
232,9/11/19,19:43,9/13/19,0:23,SC19.20U,Cont,Invasive,Ulva,Ulva,13.8147,14.1713,1.025813083,NA,NA,NA,NA,24,24.5,0.0307,,,
233,9/11/19,19:43,9/13/19,0:23,20,Exp,Native,Macro,Wrack,13.259,11.5573,NA,2.1978,3.3961,2.1978,5.5939,24,24.5,0.0307,26.3798,17.316,1.5953
234,9/11/19,19:43,9/13/19,0:23,20,Exp,Native,Centroceras,Centroceras,13.42,13.8095,NA,0.1317,NA,NA,NA,24,24.5,0.0307,,,
235,9/11/19,19:43,9/13/19,0:23,20,Exp,Native,Silvetia,Silvetia,11.389,8.3618,NA,2.6899,NA,NA,NA,24,24.5,0.0307,,,
236,9/11/19,19:43,9/13/19,0:23,20,Exp,Native,Ulva,Ulva,12.6916,12.6236,NA,0.5745,NA,NA,NA,24,24.5,0.0307,,,
237,9/11/19,19:43,9/13/19,0:23,20,Exp,Invasive,Sargassum,Wrack,12.1628,11.6462,NA,0.8027,5.86,0.8027,6.6627,24,24.5,0.0307,21.3608,15.139,2.1782
238,9/11/19,19:43,9/13/19,0:23,20,Exp,Invasive,Centroceras,Centroceras,10.9595,10.8183,NA,0.3613,NA,NA,NA,24,24.5,0.0307,,,
239,9/11/19,19:43,9/13/19,0:23,20,Exp,Invasive,Silvetia,Silvetia,11.3921,6.2548,NA,4.9833,NA,NA,NA,24,24.5,0.0307,,,
240,9/11/19,19:43,9/13/19,0:23,20,Exp,Invasive,Ulva,Ulva,9.6835,9.4181,NA,0.5154,NA,NA,NA,24,24.5,0.0307,,,
